Enngonia,SH5506,"(147,-29),(145.5,-30)"
Eromanga,SG5412,"(144,-26),(142.5,-27)"
Esperance SP,SI5106,"(123,-33),(121.5,-34)"
Eucla SP,SH5214,"(129,-31),(127.5,-32)"
Eulo,SH5501,"(145.5,-28),(144,-29)"
Everard,SG5313,"(133.5,-27),(132,-28)"
Fergusson River,SD5212,"(132,-14),(130.5,-15)"
Finke,SG5306,"(135,-25),(133.5,-26)"
Forbes,SI5507,"(148.5,-33),(147,-34)"
Forrest,SH5210,"(129,-30),(127.5,-31)"
Fowler,SH5313,"(133.5,-31),(132,-32)"
Fraser Island SP,SG5603,"(154.5,-24),(153,-25)"
Frew River,SF5303,"(136.5,-20),(135,-21)"
Frome,SH5410,"(141,-30),(139.5,-31)"
Gairdner,SH5315,"(136.5,-31),(135,-32)"
Galbraith,SE5403,"(142.5,-15),(141,-17)"
Galilee,SF5510,"(147,-22),(145.5,-23)"
Galiwinku SP,SD5303,"(136.5,-12),(135,-13)"
Gason,SG5413,"(139.5,-27),(138,-28)"
Georgetown,SE5412,"(144,-18),(142.5,-19)"
Geraldton SP,SH5001,"(115.5,-28),(114,-29)"
Gilberton,SE5416,"(144,-19),(142.5,-20)"
Giles,SH5301,"(133.5,-28),(132,-29)"
Gilgandra,SH5516,"(150,-31),(148.5,-32)"
Glenburgh,SG5006,"(117,-25),(115.5,-26)"
Glengarry,SG5012,"(120,-26),(118.5,-27)"
Glenormiston,SF5409,"(139.5,-22),(138,-23)"
Goondiwindi,SH5601,"(151.5,-28),(150,-29)"
Gordon Downs,SE5210,"(129,-18),(127.5,-19)"
Goulburn,SI5512,"(150,-34),(148.5,-35)"
Gove Peninsula SP,SD5304,"(138,-12),(136.5,-13)"
Grafton,SH5606,"(153,-29),(151.5,-30)"
Green Swamp Well,SE5313,"(133.5,-19),(132,-20)"
Groote Eylandt SP,SD5308,"(138,-13),(136.5,-14)"
Gunanya,SF5114,"(123,-23),(121.5,-24)"
Gympie,SG5610,"(153,-26),(151.5,-27)"
Hale River,SG5303,"(136.5,-24),(135,-25)"
Hamilton SP,SJ5407,"(142.5,-37),(141,-38)"
Hann River,SD5416,"(144,-15),(142.5,-15)"
Hastings,SH5614,"(153,-31),(151.5,-32)"
Hay,SI5509,"(145.5,-34),(144,-35)"
Hay River,SF5316,"(138,-23),(136.5,-24)"
Helen Springs,SE5310,"(135,-18),(133.5,-19)"
Helena,SF5205,"(127.5,-21),(126,-22)"
Henbury,SG5301,"(133.5,-24),(132,-25)"
Herbert,SG5107,"(124.5,-25),(123,-26)"
Hermannsburg,SF5313,"(133.5,-23),(132,-24)"
Heron Island,SF5614,"(153,-23),(151.5,-24)"
Highland Rocks,SF5207,"(130.5,-21),(129,-22)"
Hill River,SH5009,"(115.5,-30),(114,-31)"
Hodgson Downs,SD5314,"(135,-15),(133.5,-15)"
Holroyd SP,SD5411,"(142.5,-14),(141,-15)"
Homeboin,SG5515,"(148.5,-27),(147,-28)"
Horsham,SJ5403,"(142.5,-36),(141,-37)"
Huckitta,SF5311,"(136.5,-22),(135,-23)"
Hughenden,SF5501,"(145.5,-20),(144,-21)"
Hyden,SI5004,"(120,-32),(118.5,-33)"
Illogwa Creek,SF5315,"(136.5,-23),(135,-24)"
Ingham,SE5510,"(147,-18),(145.5,-19)"
Innaminka,SG5414,"(141,-27),(139.5,-28)"
Innisfail,SE5506,"(147,-17),(145.5,-18)"
Inverell,SH5605,"(151.5,-29),(150,-30)"
Ipswich,SG5614,"(153,-27),(151.5,-28)"
Ivanhoe,SI5501,"(145.5,-32),(144,-33)"
Jackson,SH5012,"(120,-30),(118.5,-31)"
Jardine River,SC5415,"(142.5,-11),(141,-12)"
Jericho,SF5514,"(147,-23),(145.5,-24)"
Jerilderie,SI5514,"(147,-35),(145.5,-36)"
Joanna Spring,SF5103,"(124.5,-20),(123,-21)"
Jubilee,SH5205,"(127.5,-29),(126,-30)"
Julia Creek,SF5403,"(142.5,-20),(141,-21)"
Jundah,SG5404,"(144,-24),(142.5,-25)"
Kalgoorlie,SH5109,"(121.5,-30),(120,-31)"
Kangaroo Island SP,SI5316,"(138,-35),(136.5,-36)"
Katherine,SD5309,"(133.5,-14),(132,-15)"
Kellerberrin,SH5015,"(118.5,-31),(117,-32)"
Kennedy Range,SG5001,"(115.5,-24),(114,-25)"
